Model,TimeTaken,NormalLossT,NormalAccT,StochasLossT,StochasAccT
Normal-Pure_1000,0.6737229228019714,1.6815992292444746,0.8593786093224084,1.6815992292444746,0.8593786093224084
Normal-Pure_3000,1.3173921545346579,0.6628104474953413,0.5166858995168894,0.6628104474953413,0.5166858995168894
Normal-Pure_5000,2.1619476556777952,0.32718594961105346,0.33993203053282983,0.32718594961105346,0.33993203053282983
Normal-Pure_7500,2.957103916009267,0.23622345035442233,0.2558618758743748,0.23622345035442233,0.2558618758743748
Normal-Pure_15000,6.058065720399221,0.09475641536601515,0.12847419444374938,0.09475641536601515,0.12847419444374938
Stochastic_1000,0.6174406131108602,1.7894809490638863,0.9574790696942848,1.7894809490638863,0.9574790696942848
Stochastic_3000,1.3548936684926352,3.606779122334683,0.16662762194941189,3.606779122334683,0.16662762194941189
Stochastic_5000,1.98885790904363,0.3932194649907242,0.35826709983681704,0.3932194649907242,0.35826709983681704
Stochastic_7500,2.9643264412879944,0.23074517004705816,0.25523847325561255,0.23074517004705816,0.25523847325561255
Stochastic_15000,5.553144975503286,0.11019066547566583,0.1440625115047396,0.11019066547566583,0.1440625115047396
